id;name;gender;birthdate;handedness;additional_info;image;image_content_type;project_id;created_by
1;South Dakota French Southern Territories;MALE;2020-02-23;LEFT_HAND;multi-tasking;../fake-data/blob/hipster.png;image/png;1;system
2;Fresh copying;MALE;2020-02-23;OTHER;Run Avon overriding;../fake-data/blob/hipster.png;image/png;2;system
3;Open-architected;FEMALE;2020-02-22;LEFT_HAND;Buckinghamshire;../fake-data/blob/hipster.png;image/png;3;system
4;Thailand;FEMALE;2020-02-23;RIGHT_HAND;Buckinghamshire;../fake-data/blob/hipster.png;image/png;4;system
5;Borders;OTHER;2020-02-23;LEFT_HAND;Optimization Streets parallelism;../fake-data/blob/hipster.png;image/png;5;system
6;Pula sensor;MALE;2020-02-23;RIGHT_HAND;customized cross-platform;../fake-data/blob/hipster.png;image/png;6;system
7;Intranet Facilitator Grove;OTHER;2020-02-22;RIGHT_HAND;Solutions zero tolerance Austria;../fake-data/blob/hipster.png;image/png;7;system
8;PNG integrated;OTHER;2020-02-23;RIGHT_HAND;maroon Forward;../fake-data/blob/hipster.png;image/png;8;system
9;Chicken Borders Berkshire;FEMALE;2020-02-23;OTHER;bandwidth tan Tokelau;../fake-data/blob/hipster.png;image/png;9;system
10;Developer CSS;OTHER;2020-02-23;OTHER;Denar Integrated;../fake-data/blob/hipster.png;image/png;10;system
